"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.050708514E-3,-2.566712494E0,5.089266815E0,7.532486115E0,9.446004277E0
1.208870835E-2,-2.777025146E0,4.997657318E0,7.226971436E0,9.215072624E0
2.212770842E-2,-2.968477020E0,4.814138947E0,6.926396484E0,8.942189770E0
3.216570849E-2,-3.063679047E0,4.678670654E0,6.728058929E0,8.748877948E0
4.220370855E-2,-3.052153015E0,4.691244507E0,6.787185974E0,8.797119216E0
5.224170838E-2,-2.745740204E0,4.863386536E0,7.316934357E0,9.204843629E0
6.228070846E-2,-2.318079529E0,5.016967163E0,7.910150757E0,9.649556322E0
7.231870852E-2,-1.953138428E0,5.029840393E0,8.273295593E0,9.877320693E0
8.235670836E-2,-1.741628265E0,5.029541016E0,8.436306610E0,9.975009828E0
9.239570843E-2,-1.775308228E0,5.069058838E0,8.580606537E0,1.012293857E1
1.024337085E-1,-2.097438354E0,4.934937744E0,8.484805756E0,1.003717026E1
1.124717083E-1,-1.829645233E0,4.702171783E0,7.995173950E0,9.454143412E0
1.225097084E-1,-1.845811615E0,4.592300262E0,7.838749237E0,9.270503321E0
1.325487085E-1,-2.185006256E0,4.539909210E0,7.841293945E0,9.320457001E0
1.425867085E-1,-2.478096771E0,4.429438934E0,7.752528534E0,9.266206967E0
1.526247084E-1,-2.671943665E0,4.294569397E0,7.692653046E0,9.206493368E0
1.626627084E-1,-2.835852814E0,4.100572815E0,7.708220673E0,9.180055802E0
1.727017085E-1,-2.755170593E0,3.938010864E0,7.595804443E0,8.988611667E0
1.827397083E-1,-2.632874908E0,3.883224792E0,7.438631287E0,8.794583588E0
1.927777084E-1,-2.602188721E0,4.039499817E0,7.338040466E0,8.771304509E0
2.028157085E-1,-2.442171478E0,4.225862274E0,7.321724396E0,8.799418254E0
2.128547085E-1,-2.231260071E0,4.208498383E0,7.321425018E0,8.734600417E0
2.228927084E-1,-1.984872437E0,4.057911530E0,7.201075287E0,8.500697022E0
2.329307084E-1,-1.891167297E0,3.855382690E0,6.965465240E0,8.182798754E0
2.429697085E-1,-2.049388275E0,3.579656067E0,6.446494446E0,7.653183684E0
2.530077084E-1,-2.120041351E0,3.316652985E0,5.992937622E0,7.170081150E0
2.630457084E-1,-2.273322601E0,3.312461700E0,5.972280579E0,7.197814493E0
2.730837085E-1,-2.273921356E0,3.545377350E0,6.494694214E0,7.740896060E0
2.831227083E-1,-1.741628265E0,2.700683899E0,7.178322601E0,7.864812643E0
