"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.511408342E-2,-5.166955261E0,6.642436981E0,5.927523651E0,1.029344123E1
2.515308326E-2,-4.268224182E0,6.418802032E0,8.002808075E0,1.111142179E1
3.519108333E-2,-3.155438232E0,6.167025604E0,1.034034714E1,1.244635586E1
4.522908339E-2,-2.239792328E0,5.803880768E0,1.194875244E1,1.347124295E1
5.526708323E-2,-1.680704956E0,5.521867218E0,1.256621841E1,1.382843563E1
6.530508329E-2,-1.588796082E0,5.320086823E0,1.238734039E1,1.357474857E1
7.534408337E-2,-1.949994965E0,5.186414795E0,1.146196472E1,1.273098637E1
8.538208343E-2,-2.451302490E0,5.162015533E0,1.022044647E1,1.170951811E1
9.542008326E-2,-2.857407990E0,5.293292542E0,8.963959351E0,1.079519771E1
1.054580833E-1,-2.954555969E0,5.535788269E0,7.923772430E0,1.010744885E1
1.154970834E-1,-2.845732269E0,5.803731079E0,7.210056610E0,9.683305371E0
1.255350832E-1,-2.564916229E0,5.994284821E0,6.956932983E0,9.534629637E0
1.355730833E-1,-2.208806763E0,6.013894043E0,7.199877777E0,9.637633988E0
1.456110834E-1,-1.793570251E0,5.841302948E0,7.872279510E0,9.965465321E0
1.556490834E-1,-1.235979767E0,5.577102356E0,8.691076813E0,1.040031407E1
1.656880833E-1,-7.975415039E-1,5.228926392E0,9.270821228E0,1.067360623E1
1.757260833E-1,-5.810916138E-1,4.935386810E0,9.570198669E0,1.078352507E1
1.857640834E-1,-6.542893982E-1,4.778962097E0,9.619895325E0,1.076145712E1
1.958020832E-1,-8.924441528E-1,4.672234039E0,9.437275085E0,1.056827273E1
2.058400833E-1,-1.203497314E0,4.599185944E0,9.033714294E0,1.020827660E1
2.158790834E-1,-1.553619232E0,4.629572754E0,8.562943268E0,9.857518654E0
2.259170834E-1,-1.764680328E0,4.719086609E0,8.124505005E0,9.559887900E0
2.359550833E-1,-1.830094299E0,4.743485870E0,7.702981567E0,9.229616914E0
2.459930833E-1,-1.899699554E0,4.745282135E0,7.299869843E0,8.911490372E0
2.560320834E-1,-2.019899597E0,4.778962097E0,6.930288391E0,8.657214927E0
2.660700832E-1,-2.147584076E0,4.921166382E0,6.721622314E0,8.602918252E0
2.761080833E-1,-2.214045868E0,5.088218994E0,6.607559509E0,8.628546477E0
2.861460834E-1,-2.157613220E0,5.118007050E0,6.528823242E0,8.571745674E0
2.961840834E-1,-2.096989288E0,5.117258606E0,6.628216553E0,8.632320336E0
3.062230833E-1,-2.203867035E0,5.216502228E0,6.890920258E0,8.919288503E0
3.162610834E-1,-2.304158478E0,5.325625305E0,7.176376648E0,9.228857620E0
3.262990834E-1,-2.233804779E0,5.338049469E0,7.418872375E0,9.408736538E0
3.363370833E-1,-2.146236877E0,5.312752075E0,7.524702301E0,9.457949676E0
3.463750833E-1,-2.093995514E0,5.243446198E0,7.509883118E0,9.395578198E0
3.564140834E-1,-2.112556915E0,5.198240204E0,7.485184479E0,9.354816119E0
3.664520832E-1,-2.086960144E0,5.252577209E0,7.573201447E0,9.449780428E0
3.764900833E-1,-1.872456207E0,5.272934875E0,7.653434601E0,9.480769781E0
3.865280834E-1,-1.555565186E0,5.184319153E0,7.620652771E0,9.347261459E0
3.965670834E-1,-1.452729034E0,5.109025726E0,7.451654205E0,9.150940712E0
4.066050833E-1,-1.497935028E0,5.110971680E0,7.249424744E0,8.995554456E0
4.166430833E-1,-1.545685730E0,5.145250397E0,7.123386841E0,8.922185052E0
4.266810834E-1,-1.449585571E0,5.144352264E0,7.085216217E0,8.875018163E0
4.367190832E-1,-1.402882690E0,5.101391602E0,7.078330536E0,8.837139769E0
4.467580833E-1,-1.504221954E0,5.078040161E0,7.076234894E0,8.838680662E0
4.567960834E-1,-1.600322113E0,5.060077515E0,7.082821198E0,8.850523794E0
4.668340834E-1,-1.622476044E0,5.084626465E0,7.106621704E0,8.887627740E0
4.768720833E-1,-1.629062347E0,5.199737091E0,7.202572174E0,9.031509058E0
4.869110833E-1,-1.457519073E0,5.385500793E0,7.274273071E0,9.167498533E0
4.969490834E-1,-1.230740662E0,5.515580292E0,7.256011047E0,9.197067187E0
5.069870832E-1,-1.169967041E0,5.622308350E0,7.195237427E0,9.206009759E0
5.170250833E-1,-1.283431091E0,5.757177887E0,7.177873535E0,9.290541484E0
5.270630834E-1,-1.405128021E0,5.818849640E0,7.177424469E0,9.346058950E0
5.371020834E-1,-1.449735260E0,5.843099213E0,7.196584625E0,9.382663321E0
5.471400833E-1,-1.469643860E0,5.874533844E0,7.229516144E0,9.430583473E0
5.571780833E-1,-1.542991333E0,5.930367737E0,7.312144318E0,9.540311225E0
5.672155833E-1,-1.555415497E0,5.998775482E0,7.478598175E0,9.712572024E0
5.772535834E-1,-1.518592072E0,6.029012604E0,7.618257751E0,9.833258159E0
5.872925834E-1,-1.388961639E0,6.101162567E0,7.777825928E0,9.982383246E0
5.973305833E-1,-1.225501556E0,6.134094086E0,7.963739319E0,1.012670273E1
6.073685833E-1,-1.127904510E0,6.140830078E0,8.133037262E0,1.025320719E1
6.174065834E-1,-1.073567505E0,6.121220856E0,8.351433105E0,1.041001090E1
6.274455832E-1,-9.372010803E-1,6.123466187E0,8.469387817E0,1.049312699E1
6.374835833E-1,-8.454418945E-1,6.097719727E0,8.502618713E0,1.049721310E1
6.475215834E-1,-8.354127502E-1,6.077212372E0,8.514893188E0,1.049446667E1
6.575595834E-1,-8.758287048E-1,6.079757080E0,8.492589569E0,1.048115450E1
6.675975833E-1,-9.488768005E-1,6.083349609E0,8.415350189E0,1.042715822E1
6.776365833E-1,-1.052910461E0,6.019133148E0,8.250542908E0,1.026693930E1
6.876745834E-1,-1.186582489E0,5.829477539E0,7.777825928E0,9.792107155E0
6.977125832E-1,-1.564097443E0,5.683830414E0,8.162226562E0,1.006847910E1
7.077505833E-1,-1.895657959E0,5.436694336E0,8.220605164E0,1.003640940E1
7.177895834E-1,-2.008822632E0,5.091212769E0,8.029602356E0,9.717526939E0
7.278275834E-1,-2.077529755E0,4.575834503E0,7.830216980E0,9.304122164E0
7.378655833E-1,-2.139650574E0,4.170178070E0,7.882458344E0,9.170694589E0
7.479035833E-1,-2.268382874E0,4.058360596E0,8.331075439E0,9.540580148E0
7.579415834E-1,-2.138003998E0,3.946842499E0,8.910969543E0,9.977675331E0
7.679805832E-1,-1.858385468E0,3.785627747E0,9.559121704E0,1.044803243E1
7.780185833E-1,-1.687141571E0,3.604654083E0,1.018826340E1,1.093803862E1
7.880565834E-1,-1.685794373E0,3.402125244E0,1.066606979E1,1.132172265E1
7.980945834E-1,-1.735191650E0,3.224594421E0,1.102202957E1,1.161438914E1
8.081325833E-1,-1.693727875E0,2.987936554E0,1.122845032E1,1.174200049E1
8.181715833E-1,-1.601669312E0,2.633773041E0,1.113354767E1,1.155240186E1
8.282095834E-1,-1.424437866E0,2.282752991E0,1.073612411E1,1.106816812E1
8.382475832E-1,-1.518592072E0,2.017205200E0,9.861343231E0,1.017945622E1
