"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
-2.311666613E-4,-6.918612671E-1,3.203338623E0,7.619754639E0,8.294619407E0
9.753833321E-3,-7.340734863E-1,3.415447540E0,7.085066528E0,7.899513497E0
1.973883333E-2,-4.809498596E-1,3.194207611E0,7.066505127E0,7.769798565E0
2.972483332E-2,-2.996768188E-1,2.600691833E0,7.904163208E0,8.326415809E0
3.970983333E-2,3.008743286E-2,2.082020416E0,8.811725922E0,9.054403790E0
4.969483335E-2,-3.463796997E-1,2.270478516E0,1.001701950E1,1.027695146E1
5.968083334E-2,-3.451821899E-1,1.967508545E0,1.149504593E1,1.166731852E1
6.966583335E-2,1.083446960E0,1.122066650E0,1.146885040E1,1.157442959E1
7.965083333E-2,2.533032532E0,2.067201233E-1,9.800270233E0,1.012443992E1
8.963683332E-2,2.223925323E0,-3.893403625E-1,8.796307983E0,9.081435123E0
9.962183333E-2,1.545536041E0,-5.373825073E-2,7.144043884E0,7.309509729E0
1.096067083E-1,4.049079895E-1,6.216572571E-1,7.918233948E0,7.952913748E0
1.195927083E-1,9.816586304E-1,9.955796814E-1,8.831335144E0,8.941326132E0
1.295777083E-1,2.369273071E0,9.416917419E-1,9.935439148E0,1.025734806E1
1.395627083E-1,2.781216431E0,9.883946228E-1,1.031055908E1,1.072472458E1
1.495487083E-1,2.310894470E0,1.153052216E0,1.041863434E1,1.073395100E1
1.595337083E-1,2.104174347E0,7.541317749E-1,1.038330780E1,1.062117438E1
1.695187083E-1,2.157164154E0,2.474354553E-1,1.103774689E1,1.124928610E1
1.795037083E-1,2.085313568E0,-8.382568359E-2,1.133787277E1,1.152835281E1
1.894897083E-1,1.638343048E0,-7.903564453E-2,1.119102814E1,1.131059350E1
1.994747083E-1,1.373244324E0,-4.640350342E-3,1.044902115E1,1.053887397E1
2.094607083E-1,1.627715149E0,6.110293579E-1,1.008213409E1,1.023094528E1
2.194457083E-1,2.189047852E0,1.253193970E0,1.017464172E1,1.048264088E1
2.294307083E-1,2.424508209E0,1.597028961E0,1.038285873E1,1.078111762E1
2.394157083E-1,2.337988129E0,2.211201782E0,1.057221497E1,1.105112352E1
2.494017083E-1,1.629810791E0,2.543211365E0,1.044617706E1,1.087413548E1
2.593867083E-1,3.986210632E-1,3.044967957E0,1.081111816E1,1.123881687E1
2.693717083E-1,-7.185058594E-1,3.419489136E0,1.060963715E1,1.117020846E1
2.793577083E-1,-2.393522644E0,3.094664612E0,9.840237122E0,1.058943654E1
2.893427083E-1,-2.383194122E0,2.414479065E0,1.004516098E1,1.060257433E1
2.993277083E-1,1.149609375E-1,1.582359467E0,1.004111938E1,1.016568522E1
3.093137083E-1,3.529210968E0,-9.192384338E-1,9.471703491E0,1.014955646E1
3.192987083E-1,5.491181030E0,-4.890929260E0,8.572822723E0,1.129458045E1
3.292837083E-1,5.744604034E0,-5.264851685E0,9.062753906E0,1.195209802E1
3.392697083E-1,5.863307190E0,-3.350931702E0,1.027897476E1,1.229896079E1
3.492547083E-1,4.021686859E0,-5.635780334E-1,1.001612137E1,1.080806517E1
3.592397083E-1,3.348386993E0,1.164278870E0,9.216783600E0,9.875036236E0
3.692257083E-1,3.476071472E0,1.526226196E0,8.501570892E0,9.310700667E0
3.792107083E-1,3.012635193E0,1.394649811E0,8.788374481E0,9.394495459E0
3.891957083E-1,3.343447266E0,9.318122864E-1,9.288634186E0,9.915928539E0
3.991817083E-1,3.807332611E0,3.206332397E-1,9.554032288E0,1.028970943E1
4.091667083E-1,4.430337067E0,-9.804611206E-2,9.667047272E0,1.063434542E1
4.191517083E-1,4.768483887E0,1.046324158E-1,8.978928223E0,1.016713030E1
4.291377083E-1,4.346661072E0,6.628216553E-1,7.732170868E0,8.894900862E0
4.391227083E-1,4.587809601E0,1.217118988E0,7.246880035E0,8.662946716E0
4.491077083E-1,4.748575287E0,1.725012817E0,7.655829620E0,9.172587620E0
4.590937083E-1,4.809498596E0,1.725012817E0,7.831863556E0,9.351204881E0
4.690787083E-1,4.728966064E0,1.855092316E0,7.486232300E0,9.046997380E0
4.790637083E-1,4.585564270E0,1.983974304E0,6.940317535E0,8.551699317E0
4.890497083E-1,4.649032288E0,1.754052429E0,7.454049225E0,8.958406721E0
4.990347083E-1,4.490362244E0,1.786684570E0,7.689659271E0,9.082205379E0
5.090197083E-1,3.896696777E0,2.066602478E0,7.497908020E0,8.699064102E0
5.190057083E-1,3.771407318E0,2.179767151E0,7.322173462E0,8.519925011E0
5.289907083E-1,4.080065460E0,2.559377747E0,7.206464081E0,8.667783636E0
5.389757083E-1,4.677622833E0,2.908002777E0,6.747219086E0,8.709856538E0
5.489617083E-1,5.428311768E0,3.201392670E0,6.730903015E0,9.220658278E0
5.589467083E-1,5.866151276E0,3.231330414E0,7.108118591E0,9.766195623E0
5.689317083E-1,6.233188019E0,2.734812927E0,8.376431122E0,1.079335133E1
5.789177083E-1,6.052663422E0,1.789229279E0,1.043150757E1,1.219231012E1
5.889027083E-1,4.933590546E0,1.049317932E-1,1.185968765E1,1.284536950E1
5.988877083E-1,3.574866028E0,-1.478625183E0,1.195623688E1,1.256652696E1
6.088737083E-1,2.837948456E0,-2.052082672E0,1.116094070E1,1.169750367E1
6.188587083E-1,2.890638885E0,-3.082539825E0,1.022373962E1,1.106267132E1
6.288437083E-1,2.528541870E0,-4.372407532E0,9.641749878E0,1.088461356E1
6.388297083E-1,2.319875793E0,-5.523214417E0,8.117918701E0,1.008902003E1
6.488147083E-1,2.788401489E0,-6.680308228E0,6.124514008E0,9.482160762E0
6.587997083E-1,3.058140564E0,-7.559729462E0,4.961582336E0,9.545628975E0
6.687857083E-1,2.775677948E0,-7.505392456E0,2.921175385E0,8.518718778E0
6.787707083E-1,4.214186554E0,-6.820117493E0,1.651365967E0,8.185376013E0
6.887557083E-1,5.442382507E0,-6.257587280E0,2.491568756E0,8.659378776E0
6.987417083E-1,5.879922638E0,-5.280419312E0,3.515738983E0,8.649666984E0
7.087267083E-1,6.845414886E0,-3.669020233E0,3.258573761E0,8.422571899E0
7.187117083E-1,8.156239014E0,-1.840722198E0,2.193837891E0,8.644386488E0
7.286977083E-1,1.017389328E1,-4.266128540E-2,6.521937561E-1,1.019486543E1
7.386827083E-1,1.238494537E1,1.537303162E0,-1.872605896E-1,1.248139573E1
7.486677083E-1,1.429182999E1,3.230282593E0,1.507365417E-1,1.465311747E1
7.586537083E-1,1.602028564E1,5.054838409E0,2.968327332E-1,1.680145985E1
7.686387083E-1,1.703697144E1,6.090534668E0,-6.116281128E-1,1.810323444E1
7.786237083E-1,1.793570251E1,6.586603088E0,-9.550140381E-1,1.913072965E1
7.886097083E-1,1.895433426E1,6.154152374E0,-7.595205688E-1,1.994284960E1
7.985947083E-1,1.922646835E1,5.618865509E0,1.315015411E0,2.007381380E1
8.085797083E-1,1.933110077E1,5.780080261E0,2.334096222E0,2.031129710E1
8.185657083E-1,1.869567215E1,5.088069305E0,1.715133362E0,1.945143411E1
8.285507083E-1,1.747810410E1,3.907324677E0,-8.454418945E-1,1.792947520E1
8.385357083E-1,1.586715408E1,3.041076050E0,-3.460803223E0,1.652246595E1
8.485217083E-1,1.324086548E1,1.804048462E0,-5.481151886E0,1.444361920E1
8.585067083E-1,1.008348129E1,3.547622681E-2,-6.961423645E0,1.225313318E1
8.684917083E-1,8.196505280E0,-2.483036499E0,-7.736062775E0,1.154100673E1
8.784777083E-1,8.011639709E0,-3.443589020E0,-7.600744171E0,1.156788607E1
8.884627083E-1,9.812993774E0,1.689237213E0,-7.535779266E0,1.248744723E1
8.984477083E-1,1.106349335E1,2.943778381E0,-5.113366699E0,1.253847021E1
9.084337083E-1,1.289104294E1,7.813751221E-1,-3.061433716E0,1.327260003E1
9.184187083E-1,1.248299149E1,1.208287354E0,-1.669328613E0,1.265194423E1
9.284037083E-1,1.032507889E1,-2.059567108E0,-2.022444305E0,1.072097718E1
9.383887083E-1,7.646399231E0,-4.129013672E0,-2.085313568E0,8.936705645E0
9.483747083E-1,4.745581512E0,-6.513255615E0,-1.488804016E0,8.195094874E0
9.583597083E-1,2.869083710E0,-1.039977356E1,-1.009800110E0,1.083543389E1
9.683447083E-1,3.304079132E0,-1.140583145E1,4.787045288E-1,1.188440525E1
9.783307083E-1,4.491110687E0,-1.030531998E1,3.008743286E-2,1.124146789E1
9.883157083E-1,5.094954987E0,-7.792495422E0,-1.769919434E0,9.477033609E0
9.983007083E-1,4.654870148E0,-7.161108398E0,-2.776875458E0,8.981109447E0
1.008286708E0,5.092859344E0,-8.925938416E0,-2.677781525E0,1.061979787E1
1.018271708E0,4.896916809E0,-9.922116852E0,-1.406475220E0,1.115376033E1
1.028256708E0,4.279301147E0,-1.061652283E1,1.156794434E0,1.150483153E1
1.038242708E0,3.840264130E0,-9.228609009E0,1.922003174E-1,9.997589399E0
1.048227708E0,3.374432831E0,-7.021149445E0,1.081650696E0,7.864687195E0
1.058212708E0,2.745590515E0,-5.775290222E0,1.469793549E0,6.561443248E0
1.068198708E0,3.251987457E0,-5.858816528E0,5.032534790E-1,6.719703684E0
1.078183708E0,4.743785248E0,-5.968987427E0,-6.614744568E-1,7.653094657E0
1.088168708E0,8.516988831E0,-6.057902527E0,-2.347418518E0,1.071203321E1
1.098154708E0,1.350057541E1,-6.517596588E0,-4.321812744E0,1.560200843E1
1.108140500E0,1.254107071E1,-6.550528107E0,-3.613635406E0,1.460295292E1
1.118125500E0,9.916877747E0,-6.823111267E0,-2.524500275E0,1.229928507E1
1.128111500E0,8.141868896E0,-7.049141235E0,-1.479074249E0,1.087051434E1
1.138096500E0,6.892417145E0,-6.425987091E0,-9.029223633E-1,9.466466764E0
1.148081500E0,5.686075745E0,-5.735023956E0,-5.872288513E-1,8.097332578E0
1.158067500E0,4.021237793E0,-4.797224121E0,-4.800517273E-1,6.278069952E0
1.168052500E0,2.391427002E0,-3.929628296E0,-2.639012146E-1,4.607661609E0
1.178037500E0,1.600471802E0,-3.143313446E0,2.865042114E-1,3.538928379E0
1.188023500E0,8.818162537E-1,-2.608325958E0,2.414479065E-1,2.763921363E0
1.198008500E0,2.285746765E-1,-3.303181000E0,-9.071136475E-1,3.433089901E0
1.207993500E0,3.201841736E-1,-5.527256012E0,-1.185384979E0,5.661997393E0
1.217979500E0,3.014730835E-1,-8.937015381E0,3.382965088E-1,8.948495654E0
1.227964500E0,7.671546936E-1,-6.688241730E0,4.903802490E-1,6.749931596E0
1.237949500E0,7.885601807E-1,-9.608518982E0,2.041454773E0,9.854592928E0
1.247935500E0,1.723964996E0,-1.074944641E1,1.504671021E0,1.099029974E1
1.257920500E0,2.921774139E0,-1.713636475E1,-7.680528259E-1,1.740062257E1
1.267905500E0,1.291364594E0,-2.586291779E1,-4.981640625E-1,2.589992869E1
1.277891500E0,-2.014061737E0,-3.050296875E1,2.721939697E0,3.069033240E1
1.287876500E0,-1.428629150E0,-2.663770660E1,5.676196289E0,2.727320294E1
1.297861500E0,-7.881111145E-1,-1.741089386E1,6.849157104E0,1.872621951E1
1.307847500E0,-2.584226074E0,-1.028361511E1,6.748715973E0,1.256885561E1
1.317832500E0,-3.849993896E0,-6.171516266E0,6.216871948E0,9.568676128E0
1.327817500E0,-4.518653412E0,-4.698728943E0,4.605323181E0,7.981558992E0
1.337803500E0,-4.769980774E0,-3.999832306E0,2.724933472E0,6.795339394E0
1.347788500E0,-4.872068481E0,-3.463048553E0,1.197958832E0,6.096299036E0
1.383811792E0,3.040477295E0,2.994672546E0,9.650731201E0,1.055221202E1
1.393796792E0,3.055296478E0,2.748733978E0,8.799152069E0,9.711614294E0
1.403781792E0,2.634671173E0,2.501897278E0,8.395740967E0,9.148193732E0
1.413767792E0,1.576371918E0,2.161654816E0,9.141041107E0,9.524512192E0
1.423752792E0,5.727090454E-1,2.054777069E0,1.011282028E1,1.033533930E1
1.433737792E0,9.969268799E-2,2.025438080E0,1.073432785E1,1.092419940E1
1.443722792E0,1.661544800E-2,1.940863953E0,1.074016571E1,1.091413709E1
1.453707792E0,3.115022278E-1,1.807790680E0,1.032747391E1,1.048913047E1
1.463693792E0,4.794529724E-1,1.726210327E0,9.816735992E0,9.978876830E0
1.473678792E0,1.381626892E-1,2.112856293E0,9.478589172E0,9.712203835E0
1.483663792E0,-4.827461243E-1,2.439477081E0,9.451046448E0,9.772736117E0
1.493648792E0,-8.023315430E-1,2.551444244E0,9.620344391E0,9.985220570E0
1.503633792E0,-1.039139099E0,2.674638062E0,9.624535675E0,1.004316612E1
1.513619792E0,-1.355880432E0,2.818638611E0,1.001701950E1,1.049398947E1
1.523604792E0,-2.412832489E0,2.946173401E0,1.042387344E1,1.109769507E1
1.533589792E0,-3.607049103E0,2.819387054E0,1.001806732E1,1.101460029E1
1.543574792E0,-3.928281097E0,2.834505615E0,9.454788666E0,1.062350428E1
1.553559792E0,-3.441942444E0,3.179238739E0,8.881031799E0,1.004127744E1
1.563545292E0,-2.878065033E0,3.320395203E0,8.342900848E0,9.429330687E0
1.573531292E0,-2.294279022E0,3.318149872E0,8.117319946E0,9.064475601E0
1.583516292E0,-1.663790131E0,3.115471344E0,8.080197144E0,8.818386767E0
1.593501292E0,-1.348246307E0,2.996019745E0,7.933801575E0,8.587147946E0
1.603486292E0,-5.005590820E-1,2.694247284E0,5.390141144E0,6.046747007E0
1.613472292E0,7.649093628E-2,2.103276215E0,4.836292877E0,5.274405226E0
1.623457292E0,-1.799258423E-1,1.812580719E0,7.585775299E0,7.801397891E0
1.633442292E0,-1.543590088E0,1.697919159E0,7.640561371E0,7.977705052E0
1.643427292E0,-2.874921570E0,1.979932709E0,8.152047729E0,8.867986792E0
1.653412292E0,-3.106040955E0,2.852168884E0,8.715625763E0,9.682173836E0
1.663397292E0,-3.007695465E0,2.107018433E0,8.688382416E0,9.432589660E0
1.673383292E0,-3.369642792E0,1.811383209E0,9.741592255E0,1.046585980E1
1.683368292E0,-2.740201721E0,3.785627747E0,1.042507095E1,1.142461322E1
1.693353292E0,-1.553469543E0,4.026626587E0,1.011566437E1,1.099789320E1
1.703338292E0,-2.076182556E0,3.235821075E0,9.993218994E0,1.070726379E1
1.713323292E0,-2.572250977E0,2.176623688E0,1.031370255E1,1.085019013E1
1.723309292E0,-2.005080414E0,1.719773712E0,9.723479919E0,1.007591340E1
1.733294292E0,-1.803449707E0,1.026415558E0,9.380093994E0,9.606878946E0
1.743279292E0,-1.974094849E0,7.351213074E-1,9.658365326E0,9.885417269E0
1.753264292E0,-2.711311798E0,1.096469879E0,9.481732635E0,9.922535545E0
1.763249292E0,-2.936144257E0,1.281485138E0,9.323511658E0,9.858550445E0
1.773235292E0,-2.048789520E0,9.098080444E-1,9.363179169E0,9.627793793E0
1.783220292E0,-1.887425079E0,-1.441502380E-1,9.599687347E0,9.784536263E0
1.793205292E0,-1.944007416E0,-8.764274597E-1,9.844727783E0,1.007303108E1
1.803190292E0,-1.534908142E0,-9.755213928E-1,9.829908600E0,9.996733870E0
1.813175292E0,-1.222208405E0,-7.207511902E-1,9.820328522E0,9.922304568E0
1.823161292E0,-6.435118103E-1,3.592529297E-1,9.812544708E0,9.840183117E0
1.833146292E0,-1.135239258E0,-2.357597351E-1,9.305998077E0,9.377950258E0
1.843131292E0,-8.285270691E-1,-2.579136658E-1,9.112450562E0,9.153673132E0
1.853116292E0,-7.798782349E-2,-6.746470642E-1,9.612560577E0,9.636521759E0
1.863101292E0,9.762698364E-1,-2.011816406E0,1.017673737E1,1.041952453E1
1.873087292E0,1.315015411E0,-2.208357697E0,1.003034180E1,1.035441287E1
1.883072292E0,9.595046997E-1,-1.409019928E0,8.440497894E0,8.610922780E0
1.893057292E0,4.700225830E-2,-6.511459351E-2,6.336772614E0,6.337281458E0
1.903042292E0,-4.794529724E-1,3.806584167E-1,5.317542114E0,5.352665702E0
1.913027292E0,4.908293152E-1,-7.854167175E-1,4.234544220E0,4.334646189E0
1.923012292E0,2.240241394E0,-2.796185303E0,4.133055267E0,5.469870162E0
1.932998292E0,3.369343414E0,-5.411247253E0,5.254822540E0,8.261188281E0
1.942983292E0,3.825444946E0,-6.801855469E0,6.388115845E0,1.008500327E1
1.952968292E0,4.363126831E0,-7.101382599E0,7.811954956E0,1.142335987E1
1.962953292E0,2.866988068E0,-8.006400604E0,8.632548523E0,1.211787792E1
1.972938292E0,-9.550140381E-2,-8.493188324E0,8.909921722E0,1.230975522E1
