"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.896650001E-2,-3.351380768E0,4.074976044E0,6.108347626E0,8.071498840E0
2.895149999E-2,-2.389331360E0,3.816763000E0,7.413932648E0,8.674271235E0
3.893650000E-2,-1.476379852E0,3.805686035E0,8.788524170E0,9.690258033E0
4.892150001E-2,-1.110390930E0,3.905827789E0,9.528136139E0,1.035730839E1
5.890649999E-2,-1.311123505E0,3.933819580E0,9.425898743E0,1.029764771E1
6.889150001E-2,-1.955383759E0,3.775748291E0,9.036558380E0,9.986950894E0
7.887649999E-2,-2.725831604E0,3.586990814E0,8.807085571E0,9.892492977E0
8.886150000E-2,-3.067421265E0,3.446582794E0,8.514893188E0,9.684596645E0
9.884650001E-2,-2.909948730E0,3.500171356E0,8.190218353E0,9.370094867E0
1.088315000E-1,-2.537074127E0,3.667822723E0,7.860903168E0,9.037890643E0
1.188165000E-1,-2.047442322E0,3.844305725E0,7.667205963E0,8.817979012E0
1.288015000E-1,-1.350641327E0,4.027674408E0,7.744145966E0,8.832790605E0
1.387865000E-1,-5.852828979E-1,4.283043365E0,7.821535034E0,8.936633977E0
1.487715000E-1,-1.148112488E-1,4.499642944E0,7.827821960E0,9.029660287E0
1.587565000E-1,1.377136230E-1,4.607867889E0,7.944728851E0,9.185321336E0
1.687415000E-1,2.740800476E-1,4.616250458E0,8.394842834E0,9.584272240E0
1.787265000E-1,-7.604187012E-2,4.556674347E0,9.253008270E0,1.031441833E1
1.887115000E-1,2.050735474E-1,4.530478821E0,9.343120880E0,1.038562474E1
1.986965000E-1,1.194515991E0,4.500541077E0,8.821904755E0,9.975356732E0
2.086815000E-1,1.356928253E0,4.088298340E0,7.978708191E0,9.067260997E0
2.186665000E-1,9.952803040E-1,3.468137970E0,6.724316711E0,7.631185956E0
2.286515000E-1,1.169218597E0,3.266956329E0,6.389912109E0,7.271248349E0
2.386365000E-1,1.065035248E0,3.938459930E0,7.268734589E0,8.335482543E0
2.486215000E-1,2.273771667E-1,4.125870209E0,8.677904205E0,9.611478906E0
2.586065000E-1,9.660910034E-1,4.018543396E0,9.707463226E0,1.055068079E1
2.685915000E-1,2.465522919E0,3.494034119E0,1.045575714E1,1.129645675E1
2.785765000E-1,3.609144745E0,3.083288269E0,1.000354752E1,1.107264897E1
2.885615000E-1,3.851939850E0,2.827769623E0,8.956325226E0,1.015132913E1
2.985465000E-1,3.060385895E0,2.938389587E0,8.123157806E0,9.164376026E0
3.085315000E-1,2.796933746E0,3.043171692E0,6.929989014E0,8.068982591E0
3.185165000E-1,2.341281281E0,3.032094727E0,5.643264771E0,6.820676926E0
3.285015000E-1,3.639082489E0,3.242706757E0,4.588707733E0,6.694348895E0
3.384862083E-1,4.647984467E0,4.280648346E0,4.502337341E0,7.758785433E0
3.484712083E-1,6.186036072E0,4.982838135E0,5.755082245E0,9.809010643E0
3.584562083E-1,7.622299347E0,4.815785522E0,6.749464417E0,1.126261548E1
3.684412083E-1,6.818470917E0,4.187991028E0,7.425907745E0,1.091672663E1
3.784262083E-1,6.155798950E0,3.667373657E0,7.470964050E0,1.035175319E1
